"species","habitat_taxref","pf"
"Gunnellichthys viridescens",1,"P"
"Feia nympha",1,"P"
"Apogon deetsie",1,"P"
"Ctenogobiops feroculus",1,"P"
"Polydactylus plebeius",1,"P"
"Gymnothorax meleagris",1,"P"
"Cephalopholis sonnerati",1,"P"
"Baseodiscus delineatus",1,NA
"Mastonia squalida",1,"P"
"Tetrasquilla mccullochae",1,"P"
"Cirrholovenia tetranema",1,NA
"Nemalecium lighti",1,NA
"Anampses twistii",1,"P"
"Thyca crystallina",1,NA
"Anchiopontonia hurii",1,"P"
"Corallianassa coutierei",1,"P"
"Pseudanthias pascalus",1,"P"
"Canthigaster criobe",1,"E"
"Coris roseoviridis",1,"S"
"Turbonilla varicosa",1,"P"
"Mitra papalis",1,"P"
"Trimma erwani",1,"E"
"Cetoscarus bicolor",1,"P"
"Leptoscarus vaigiensis",1,"P"
"Pedum spondyloideum",1,"P"
"Zafra obesula",1,NA
"Oreochromis mossambicus",4,"J"
"Pilosabia trigona",1,"P"
"Limenandra nodosa",1,"P"
"Conus cylindraceus",1,"P"
"Pseudojuloides cerasinus",1,"P"
"Parhyale hawaiensis",1,NA
"Ocyropsis maculata",1,NA
"Stauridiosarsia nipponica",1,NA
"Pseudanthias olivaceus",1,"P"
"Uropterygius kamar",1,"P"
"Trochocyathus maculatus",1,NA
"Stiphodon elegans",4,"P"
"Alatina alata",1,NA
"Lissoclinum vareau",1,"P"
"Monoplex mundus",1,"P"
"Synaptocochlea concinna",1,"P"
"Chromis fatuhivae",1,"E"
"Gnatholepis knighti",1,"P"
"Pervagor marginalis",1,"P"
"Pseudanthias regalis",1,"E"
"Polybranchia orientalis",1,"P"
"Stegastes aureus",1,"P"
"Canthigaster marquesensis",1,"E"
"Malacanthus brevirostris",1,"P"
"Horologica semipicta",1,"P"
"Septaria tahitiana",2,"E"
"Enneapterygius nigricauda",1,"P"
"Lamellidea micropleura",3,"E"
"Leucetta microraphis",1,"P"
"Nesopupa pleurophora",3,"P"
"Stomatolina rubra",1,"P"
"Liopropoma lunulatum",1,"P"
"Asterorhombus filifer",1,"P"
"Taenianotus triacanthus",1,"P"
"Alpheus rapax",1,"P"
"Plesiothyreus cytherae",1,"P"
"Cyclograpsus integer",1,"P"
"Plesiotrochus luteus",1,NA
"Tetraloides nigrifrons",1,"P"
"Neocallichirus jousseaumei",1,"P"
"Petaloconchus keenae",1,NA
"Myrichthys colubrinus",1,"P"
"Etisus dentatus",1,"P"
"Liloa mongii",1,"P"
"Ptereleotris monoptera",1,"P"
"Cellana taitensis",1,"P"
"Holothuria fuscocinerea",1,"P"
"Gobiopsis exigua",1,"P"
"Anguilla megastoma",4,"P"
"Tweedieia laysani",1,"P"
"Cheilodipterus macrodon",1,"P"
"Discordipinna griessingeri",1,"P"
"Myripristis murdjan",1,"P"
"Sadayoshia miyakei",1,NA
"Leiaster speciosus",1,"P"
"Seminella peasei",1,"P"
"Uroptychus soyomaruae",1,"P"
"Entomacrodus striatus",1,"P"
"Mugil cephalus var. cestreo",4,"P"
"Norfolkia brachylepis",1,"P"
"Tylosurus crocodilus crocodilus",1,"P"
"Neobythites marquesaensis",1,"E"
"Alticus simplicirrus",1,"E"
"Chlorurus gibbus",1,NA
"Synodus capricornis",1,"P"
"Corythoichthys intestinalis",1,"P"
"Sebastapistes galactacma",1,"P"
"Tuamotuichthys bispinosus",1,"E"
"Hyporhamphus acutus",1,"P"
"Stiphodon julieni",4,"E"
"Atherinomorus lacunosus",1,"P"
"Eviota saipanensis",1,"P"
"Gymnothorax australicola",1,"P"
"Amblygobius albimaculatus",1,NA
"Parioglossus galzini",1,"E"
"Enchelycore ramosa",1,"P"
"Strumigenys godeffroyi",3,"I"
"Strumigenys rogeri",3,"I"
"Paratrechina longicornis",3,"I"
"Tetramorium simillimum",3,"I"
"Monomorium pharaonis",3,"I"
"Hypoponera opaciceps",3,"I"
"Strumigenys mumfordi",3,"E"
"Hypoponera opacior",3,"D"
"Solenopsis globularia",3,"I"
"Pheidole fervens",3,"C"
"Ponera petila",3,"I"
"Pterodroma ultima",5,"P"
"Aedes polynesiensis",8,"P"
"Culex atriceps",8,"E"
"Aedes aegypti",8,"I"
"Culex roseni",8,"C"
"Aedes edgari",8,"E"
"Culex marquesensis",8,"E"
"Culex litoralis",8,"D"
"Culex annulirostris",8,"P"
"Tapinoma melanocephalum var. australe",3,"I"
"Actaea spinosissima",1,NA
"Echthromorpha agrestoria",3,"P"
"Pseudopachybrachius guttus",3,"P"
"Achaea janata",3,"I"
"Melanitis leda",3,"P"
"Toxorhynchites amboinensis",8,"I"
"Omiodes diemenalis",3,"P"
"Sitophilus granarius",3,"I"
"Hemiptarsenus varicornis",3,NA
"Iressa neoleuca",3,"E"
"Ichneumon promissorius",3,NA
"Anterhynchium rufipes",3,"P"
"Tutufa bufo",1,NA
"Stathmopoda percnophthalma",3,"E"
"Hyblaea puera",3,"P"
"Stoeberhinus testaceus",3,"P"
"Ernophthora chrysura",3,"E"
"Penicillaria jocosatrix",3,NA
"Hasarius adansoni",3,"I"
"Xyleborus ferrugineus",3,"I"
"Stathmopoda argyrosticha",3,"E"
"Pediculus humanus corporis",3,NA
"Imma impariseta",3,"E"
"Pyroderces incertulella",3,"P"
"Melanostoma polynesiotes",3,"E"
"Labropsis polynesica",1,"P"
"Opogona aurisquamosa",3,"I"
"Cosmopterix melanarches",3,"E"
"Simodactylus cinnamomeus",3,"P"
"Copostigma vitiense",3,"P"
"Ashtoret picta",1,"P"
"Sitobion avenae",3,"P"
"Euplexia vetula",3,"E"
"Ptereleotris evides",1,"P"
"Cleora dodonaeae",3,"P"
"Periplaneta australasiae",3,"P"
"Eucampyla etheiella",3,"P"
"Filicicoris viridis",3,"E"
"Comodica signata",3,"E"
"Pentacheles laevis",1,"P"
"Herlinda iota",3,"E"
"Condica illecta",3,"P"
"Neotrichiorhyssemus hirsutus",3,"P"
"Enicospilus melanocarpus",3,"P"
"Mochtherus tetraspilotus",3,"I"
"Tiracola plagiata",3,"P"
"Dinema filicornis",3,"P"
"Spodoptera mauritia",3,"P"
"Choreutis orthogona",3,"P"
"Agrotis ipsilon ipsilon",3,NA
"Mythimna separata",3,NA
"Spoladea recurvalis",3,"P"
"Cnaphalocrocis trapezalis",3,"P"
"Chasmina candida",3,NA
"Scoparia psednopa",3,"E"
"Hyalobathra variabilis",3,"E"
"Dichelopa iochorda",3,"E"
"Utetheisa pulchella pulchella",3,NA
"Erechthias simulans",3,"P"
"Diasemiopsis ramburialis",3,"P"
"Cleora stenoglypta",3,"P"
"Anthophila chelaspis",3,"E"
"Dichelopa phalaranthes",3,"E"
"Dichelopa amorpha",3,"E"
"Vagrans egista scyllaria",3,"A"
"Hypolimnas bolina",3,"P"
"Eudocima phalonia",3,"I"
"Megachile umbripennis var. atriventris",3,"P"
"Nikoides boraboraensis",1,"E"
"Eodemus hastatoides",1,NA
"Catoptrus nitidus",1,"P"
"Kraussia rugulosa",1,"P"
"Porcellionides pruinosus",3,"I"
"Anthomuda alba",1,"P"
"Ocypode pallidula",1,"P"
"Discoplax longipes",3,"P"
"Metacirolana pigmentata",1,"P"
"Aphantolana moortgati",1,"P"
"Cirolana paraerodiae",1,"P"
"Thalamita gloriensis",1,"P"
"Paraxiopsis brocki",1,"P"
"Articullichirus collaroy",1,"P"
"Paradella tuberculata",1,"P"
"Paracassidinopsis sculpta",1,"P"
"Alcirona insularis",1,"P"
"Colomastix tiahurae",1,"P"
"Colomastix minuta",1,"P"
"Colomastix lunalilo",1,"P"
"Heteronucia venusta",1,"P"
"Hansenium wilsoni",1,"P"
"Liocoryphe algreti",1,"P"
"Mizothenar maharepa",1,"P"
"Thalamita bevisi",1,"P"
"Pendanthura waegelei",1,"P"
"Apanthura vaitapensu",1,"P"
"Minyanthura pacifica",1,"P"
"Expanathura mooreae",1,"P"
"Colanthura gauguini",1,"P"
"Colanthura tenuis",1,"P"
"Apanthuroides coralliophilus",1,"P"
"Accalathura setosa",1,"P"
"Paranthura societensis",1,"P"
"Australaena zimmermani",3,"E"
"Scarus longipinnis",1,"P"
"Scolopendra subspinipes",3,"I"
"Ceresium unicolor",3,"P"
"Nesoscopa exsors",3,"E"
"Kallitaxila sinica",3,"I"
"Macroglossum hirundo",3,"P"
"Ischnura taitensis",8,"E"
"Apis mellifera",3,"I"
"Lysiphlebus testaceipes",3,"I"
"Thaumatotibia chaomorpha",3,"P"
"Asymphorodes trichogramma",3,"E"
"Cosmopolites sordidus",3,"I"
"Sophonia orientalis",3,"I"
"Opogona discordia",3,"E"
"Litargus vestitus",3,"I"
"Tirsa fiona",3,"E"
"Euplatypus parallelus",3,NA
"Phereoeca allutella",3,"P"
"Dichelopa peropaca",3,"E"
"Diaphania indica",3,"I"
"Fusigobius humeralis",1,"P"
"Cardiocondyla emeryi chlorotica",3,"I"
"Teleogryllus oceanicus",3,"P"
"Euploea lewinii",3,"P"
"Callopistria maillardi",3,"P"
"Misumenops temihana",3,"E"
"Onigocia bimaculata",1,"P"
"Spelobia bifrons",3,NA
"Nabis kinbergii",3,"P"
"Liriomyza sativae",3,"P"
"Erechthias minuscula",3,"I"
"Graeffea crouanii",3,"P"
"Erechthias zebrina",3,"P"
"Evania appendigaster",3,"I"
"Maliattha ritsemae",3,"P"
"Cryptoblabes plagioleuca",3,"P"
"Setomorpha rutella",3,"P"
"Sapphirina opalina",1,NA
"Idioblasta transversata",3,"E"
"Pterolophia lateripicta",3,"P"
"Cryptogemma praesignis",1,"P"
"Phycita orthoclina",3,"E"
"Crocidosema plebejana",3,"I"
"Strepsicrates thyellopis",3,"E"
"Xenisthmus polyzonatus",1,"P"
"Centropyge bispinosa",1,"P"
"Etiella zinckenella",3,NA
"Pachodynerus nasidens",3,"I"
"Ceratoscopelus warmingii",1,"P"
"Trissodoris thelmae",3,"E"
"Eumunida keijii",1,"P"
"Xanthichthys mento",1,"P"
"Anomis flava",3,"P"
"Caloptilia hilaropis",3,"E"
"Dudua eumenica",3,"E"
"Anthrax semiscitus",3,"P"
"Hypena masurialis",3,NA
"Evoxymetopon poeyi",1,"P"
"Scytodes fusca",3,"I"
"Tetragnatha rava",3,"E"
"Plexippus paykullii",3,"I"
"Berthellina citrina",1,NA
"Ornidia obesa",3,"I"
"Syritta aenigmatopatria",3,"P"
"Trissodoris honorariella",3,"P"
"Tatobotys vibrata",3,"E"
"Ceratobia oxymora",3,"I"
"Paracentropyge multifasciata",1,"P"
"Choreutis chalcotoxa",3,"P"
"Boloceroides mcmurrichi",1,"P"
"Eumunida treguieri",1,"P"
"Argonauta argo",1,"P"
"Entomacrodus niuafoouensis",1,"P"
"Hydriris ornatalis",3,"P"
"Clivipollia incarnata",1,NA
"Pyroderces lunulifera",3,"P"
"Sceliphron caementarium",3,"I"
"Ptilinopus coralensis",3,"E"
"Todiramphus veneratus veneratus",3,"E"
"Pterodroma neglecta",5,"P"
"Pterodroma alba",5,"P"
"Gymnothorax pseudothyrsoideus",1,NA
"Siganus doliatus",1,NA
"Acrocephalus atyphus palmarum",3,"E"
"Partula clara marmorata",3,"S"
"Numenius tahitiensis",3,"P"
"Birgus latro",5,"P"
"Egretta gularis",8,NA
"Puffinus lherminieri bailloni",5,NA
"Aechmorhynchus parvirostris",5,"E"
"Porzana tabuensis",8,"P"
"Vini peruviana",3,"S"
"Acrocephalus caffer palmarum",3,"E"
"Ploceus melanocephalus",3,"I"
"Ramphocelus carbo",3,NA
"Hirundo tahitica",3,"P"
"Butorides virescens",3,NA
"Urodynamis taitensis",3,"P"
"Pluvialis dominica",5,NA
"Partula diminuta",3,"Z"
"Butorides striata patruelis",3,"E"
"Aerodramus ocistus",3,"E"
"Chauliodus sloani",1,"P"
"Scopelarchus michaelsarsi",1,NA
"Stemonidium hypomelas",1,NA
"Cyclothone microdon",1,NA
"Vinciguerria poweriae",1,NA
"Scopelarchus analis",1,NA
"Notolychnus valdiviae",1,NA
"Hirundichthys speculiger praecox",1,NA
"Sternoptyx diaphana",1,NA
"Diaphus anderseni",1,NA
"Lobianchia gemellarii",1,NA
"Notoscopelus resplendens",1,NA
"Idiacanthus fasciola",1,"P"
"Argyropelecus lychnus",1,"P"
"Coccorella atlantica",1,NA
"Lampanyctus festivus",1,NA
"Bolinichthys photothorax",1,NA
"Diaphus fragilis",1,NA
"Cyclothone pseudopallida",1,NA
"Idiacanthus atlanticus",1,NA
"Cyclothone signata alba",1,NA
"Gonichthys venetus",1,"P"
"Sternoptyx obscura",1,NA
"Melamphaes danae",1,NA
"Scopelogadus mizolepis",1,"P"
"Astronesthes indicus",1,NA
"Derichthys serpentinus",1,NA
"Gempylus serpens",1,"P"
"Hygophum reinhardtii",1,NA
"Gonostoma atlanticum",1,NA
"Vinciguerria nimbaria",1,"P"
"Stemonosudis macrura",1,NA
"Lampadena urophaos atlantica",1,NA
"Bregmaceros japonicus",1,NA
"Diogenichthys atlanticus",1,NA
"Scopelopsis multipunctatus",1,NA
"Scopelosaurus hamiltoni",1,NA
"Argyropelecus hemigymnus",1,NA
"Remora remora",1,"P"
"Sternoptyx pseudobscura",1,NA
"Centrobranchus nigroocellatus",1,NA
"Valenciennellus tripunctulatus",1,NA
"Melamphaes simus",1,NA
"Symbolophorus evermanni",1,NA
"Diaphus termophilus",1,NA
"Evermannella indica",1,NA
"Argyropelecus sladeni",1,NA
"Phtheirichthys lineatus",1,"P"
"Myctophum asperum",1,NA
"Gigantura indica",1,NA
"Diaphus mollis",1,NA
"Omosudis lowii",1,NA
"Oxyporhamphus micropterus",1,"P"
"Anoplogaster cornuta",1,NA
"Lampanyctus pusillus",1,NA
"Lampanyctus tenuiformis",1,NA
"Encheliophis homei",1,"P"
"Argyropelecus olfersii",1,NA
"Scomberesox saurus saurus",1,NA
"Diplophos taenia",1,"P"
"Myctophum spinosum",1,NA
"Triphoturus nigrescens",1,NA
"Rondeletia loricata",1,NA
"Diaphus fulgens",1,"P"
"Benthalbella infans",1,NA
"Exocoetus obtusirostris",1,NA
"Benthosema suborbitale",1,NA
"Poromitra crassiceps",1,NA
"Taaningichthys minimus",1,NA
"Diaphus schmidti",1,NA
"Myctophum selenops",1,NA
"Scopelarchus guentheri",1,"P"
"Gonichthys tenuiculus",1,NA
"Lamnostoma orientalis",4,"P"
"Sigmops elongatus",1,NA
"Argyropelecus aculeatus",1,NA
"Alepisaurus ferox",1,NA
"Nemichthys curvirostris",1,NA
"Avocettina infans",1,NA
"Diogenichthys laternatus",1,NA
"Myctophum obtusirostre",1,NA
"Diaphus lucidus",1,NA
"Sudis atrox",1,NA
"Bolinichthys supralateralis",1,NA
"Bathysphyraenops simplex",1,NA
"Diaphus parri",1,NA
"Scopeloberyx robustus",1,NA
"Magnisudis indica",1,NA
"Cyclothone alba",1,NA
"Bregmaceros mcclellandi",1,NA
"Centrobranchus andreae",1,NA
"Aristostomias xenostoma",1,"P"
"Hygophum proximum",1,NA
"Diodon eydouxii",1,NA
"Centropyge narcosis",1,"P"
"Sigmops ebelingi",1,NA
"Diaphus brachycephalus",1,NA
"Lestidiops sphyraenopsis",1,NA
"Ichthyapus vulturis",1,"P"
"Microphis brachyurus millepunctatus",4,NA
"Ichthyococcus ovatus",1,NA
"Diaphus effulgens",1,NA
"Stomias boa boa",1,NA
"Scopeloberyx opisthopterus",1,NA
"Odontostomops normalops",1,NA
"Margrethia obtusirostra",1,NA
"Myctophum nitidulum",1,NA
"Encheliophis boraborensis",1,"P"
"Lampanyctus nobilis",1,NA
"Neonesthes capensis",1,NA
"Poromitra oscitans",1,NA
"Magnisudis atlantica",1,NA
"Paragobiodon modestus",1,"P"
"Euprotomicrus bispinatus",1,"P"
"Makaira mazara tahitiensis",1,"P"
"Diaphus perspicillatus",1,NA
"Sudis hyalina",1,NA
"Howella brodiei",1,"P"
"Pseudechidna brummeri",1,"P"
"Macroparalepis danae",1,NA
"Stemonosudis rothschildi",1,NA
"Cheilopogon furcatus",1,"P"
"Eurypegasus draconis",1,"P"
"Poromitra megalops",1,NA
"Bolinichthys nikolayi",1,NA
"Lampris guttatus",1,"P"
"Coccorella atrata",1,NA
"Diaphus garmani",1,NA
"Argyropelecus affinis",1,NA
"Eustomias enbarbatus",1,"P"
"Lampanyctus lepidolychnus",1,NA
"Melanostomias biseriatus",1,"A"
"Chiasmodon niger",1,NA
"Bolinichthys longipes",1,NA
"Lampadena speculigera",1,NA
"Nannobrachium achirus",1,NA
"Nealotus tripes",1,NA
"Diaphus luetkeni",1,NA
"Sardinella melanura",1,"P"
"Astronesthes niger",1,NA
"Schedophilus maculatus",1,NA
"Vinciguerria lucetia",1,NA
"Melamphaes polylepis",1,NA
"Taaningichthys bathyphilus",1,NA
"Pomarea iphis fluxa",3,"Z"
"Coridromius taravao",3,"E"
"Novastoa rapaitiensis",1,"P"
"Taheitia scalariformis",3,"E"
"Punctoterebra nitida",1,"P"
"Psammocora stellata",1,"P"
"Antennarius pictus",1,"P"
"Pheidole oceanica",3,"C"
"Dardanus dearmatus",1,"P"
"Nesodiscus huaheinensis",3,"E"
"Samoana annectens",3,"E"
"Omphalotropis pupoides",3,"E"
"Xanthias canaliculatus",1,"P"
"Oxyurichthys lonchotus",1,NA
"Pseudodaphnella granicostata",1,NA
"Trochomorpha cressida",3,"E"
"Lamprocystis vitrinella",3,"E"
"Hemidactylus frenatus",3,"J"
"Cantharidus marmoreus",1,"P"
"Uropterygius concolor",1,"P"
"Chrysiptera biocellata",1,NA
"Tubastraea coccinea",1,"P"
"Partula compressa",3,"E"
"Succinea pallida",3,"E"
"Pareurythoe californica",1,"P"
"Lactoria cornuta",1,"P"
"Anampses caeruleopunctatus",1,"P"
"Rissoina tenuistriata",1,"P"
"Tubuaia inconstans",3,"E"
"Omphalotropis tahitensis",3,"E"
"Morula variabilis",1,"P"
"Heliacus trochoides",1,"P"
"Ptilinopus mercierii",3,"Z"
"Nebularia incompta",1,"P"
"Gastrocopta pediculus",3,"C"
"Partula incrassa",3,"E"
"Pseudosquillisma oculata",1,"P"
"Celticola pilsbryi",3,"E"
"Kermia pumila",1,"P"
"Eoacmaea conoidalis",1,"P"
"Cyclomorpha obligata",3,"E"
"Stegastes punctatus",1,"P"
"Elasmias amphodon",3,"E"
"Oxynoe viridis",1,"P"
"Aphanoconia exigua",3,"E"
"Samoana ganymedes",3,"E"
"Stauridiosarsia ophiogaster",1,"P"
"Nesodiscus fabrefactus",3,"E"
"Abudefduf saxatilis",1,NA
"Succinea gouldiana",3,"E"
"Anarithma pamila",1,"P"
"Samoana inflata",3,"Z"
"Libera bursatella",3,"E"
"Orphnaeus brevilabiatus",3,"P"
"Tornatellides oblongus",3,"C"
"Microphis argulus",4,"P"
"Calcinus gaimardii",1,NA
"Anchialina flemingi",1,"P"
"Petalostegus bicornis",1,NA
"Gymnomuraena zebra",1,"P"
"Bipalium kewense",3,"I"
"Turbo marmoratus",1,"I"
"Sicyopterus pugnans",4,"S"
"Periplaneta americana",3,"I"
"Chelonia mydas",5,"P"
"Aplustrum amplustre",1,"P"
"Hyporhamphus dussumieri",1,"P"
"Olla v-nigrum",3,"I"
"Amphiprion chrysopterus",1,"P"
"Clithon spinosum",2,"E"
"Hippotion celerio",3,"P"
"Pavona cactus",1,"P"
"Ducula galeata",3,"E"
"Palaemon debilis",6,"P"
"Arothron meleagris",1,"P"
"Hypselodoris imperialis",1,"P"
"Sticholotis ruficeps",3,"I"
"Pavona frondifera",1,NA
"Sphyraena forsteri",1,"P"
"Liocheles australasiae",3,"P"
"Phelsuma laticauda",3,"I"
"Heteropoda venatoria",3,"I"
"Gutturnium muricinum",1,"P"
"Pomarea nigra",3,"E"
"Physalia physalis",1,NA
"Lobactis scutaria",1,"P"
"Conus bullatus",1,"P"
"Cairina moschata",8,NA
"Montipora angulata",1,"D"
"Gonocephalum adpressiforme",3,"I"
"Coenobita carnescens",3,"D"
"Palythoa mutuki",1,NA
"Chelisoches morio",3,"P"
"Oxycarenus luctuosus",3,NA
"Asaphis violascens",1,"P"
"Placosternus crinicornis",3,"I"
"Tetralia nigrolineata",1,"P"
"Pterodroma heraldica",5,"P"
"Jordanthribus planifacietus",3,"P"
"Pseudovertagus aluco",1,NA
"Acanthastrea pachysepta",1,NA
"Leptoria phrygia",1,"P"
"Galeocerdo cuvieri",1,"P"
"Agapornis personatus",3,NA
"Paractaea retusa",1,"P"
"Gorgasia galzini",1,"P"
"Asymphorodes ochrogramma",3,"E"
"Trioza bimaculata",3,"E"
"Diplogrammus goramensis",1,"P"
"Haumea rehderi",1,"P"
"Echidna polyzona",1,"P"
"Apogon caudicinctus",1,"P"
"Uropterygius macrocephalus",1,"P"
"Onuxodon fowleri",1,"P"
"Alciopina paumotanus",1,"P"
"Atergatis floridus",1,"P"
"Lepadichthys frenatus",1,"P"
"Anarchias exulatus",1,"P"
"Isistius brasiliensis",1,"P"
"Michelopagurus tangaloa",1,"P"
"Trachinocephalus gauguini",1,"E"
"Oliva ozodona",1,"P"
"Cyclodius obscurus",1,"P"
"Cheilodactylus plessisi",1,"P"
"Pseudocheilinus citrinus",1,"S"
"Acropora aspera",1,NA
"Gonodactylus chiragra var. confinis",1,"P"
"Phalacrophorus pictus",1,"P"
"Amphioplus laevis",1,"P"
"Pascua sticta",1,"E"
"Petrolisthes lamarckii asiaticus",1,NA
"Selar crumenophthalmus",1,"P"
"Gymnapogon vanderbilti",1,"P"
"Oliva panniculata",1,"P"
"Eustomias braueri",1,"P"
"Acanthosquilla multifasciata",1,"P"
"Ctenarytaina remota",3,"E"
"Clarkeophlebia argentea",3,"P"
"Heliacus mighelsi",1,"P"
"Gymnothorax shaoi",1,"P"
"Carposina apousia",3,"E"
"Suttonia lineata",1,"P"
"Olindias singularis",1,"P"
"Heterocentrotus mamillatus",1,"P"
"Sus scrofa",3,"A"
"Aegomorphus quadrigibbus",3,"I"
"Chicoreus maurus",1,"P"
"Felis catus",3,"J"
"Fregata magnificens",5,NA
"Belionota prasina",3,NA
"Kuhlia rupestris sauvagei",4,"A"
"Pocillopora meandrina",1,"P"
"Oxydema longulum",3,"P"
"Chiton marquesanus",1,"P"
"Distorsio anus",1,"P"
"Pocillopora acuta",1,NA
"Daphnis nerii",3,NA
"Brentus cylindrus",3,"I"
"Ptilinopus chalcurus",3,"E"
"Cardiocondyla wroughtonii var. obscurior",3,"I"
"Pleurosicya plicata",1,"P"
"Tholymis tillarga",8,"P"
"Henosepilachna vigintioctopunctata sumbana",3,NA
"Capra hircus",3,"J"
"Puffinus griseus",1,"B"
"Toxopneustes pileolus",1,"P"
"Endeavouria septemlineata",3,"I"
"Kyphosus sectatrix",1,NA
"Lethrinus microdon",1,NA
"Conus bandanus",1,"P"
"Equus caballus",3,"I"
"Platydemus manokwari",3,"J"
"Conus boutetorum",1,"P"
"Corythoichthys conspicillatus",1,"P"
"Nebrius ferrugineus",1,"P"
"Aseraggodes melanostictus",1,"P"
"Clypeaster reticulatus",1,"P"
"Plagusia speciosa",1,"P"
"Bryaninops yongei",1,"P"
"Cyrtomaia ihlei",1,"P"
"Asymphorodes phalarogramma",3,"E"
"Pseudolabrus torotai",1,"E"
"Clausocalanus arcuicornis",1,"P"
"Roboastra gracilis",1,"P"
"Isocirrhitus sexfasciatus",1,"P"
"Cuapetes nilandensis",1,NA
"Pennella filosa",1,NA
"Imma feaniensis",3,"E"
"Yirrkala moorei",1,"P"
"Candacia truncata",1,"P"
"Parapercis schauinslandii",1,"P"
"Eduarctus modestus",1,"P"
"Eviota melasma",1,"P"
"Asymphorodes mediostriatus",3,"E"
"Acropora muricata",1,"P"
"Goniosupradens erythrodactylus",1,"P"
"Kyphosus cinerascens",1,"P"
"Tritopterna eocnephaea",3,"E"
"Sargocentron hormion",1,"S"
"Pseudocheilinus evanidus",1,"P"
"Demania garthi",1,"P"
"Asymphorodes nigricornis",3,"E"
"Lactoria fornasini",1,"P"
"Asymphorodes trigrapha",3,"E"
"Ischnura thelmae",8,"E"
"Epinephelus socialis",1,"P"
"Chaetodon lineolatus",1,"P"
"Conus retifer",1,"P"
"Conus vexillum sumatrensis",1,"P"
"Photonectes albipennis",1,NA
"Conus vautieri",1,"P"
"Lophozozymus superbus",1,"P"
"Torrea pelagica",1,"P"
"Puffinus bailloni",5,"P"
"Leucophaeus atricilla",5,"B"
"Bulweria bulwerii",5,"P"
"Leucophaeus pipixcan",5,"B"
"Todiramphus godeffroyi",3,"E"
"Pomarea whitneyi",3,"E"
"Acrocephalus rimitarae",3,"E"
"Pterodroma leucoptera",5,"Q"
"Calidris alba",5,"P"
"Pomarea mendozae",3,"E"
"Cnaphalocrocis hemicrossa",3,"E"
"Tatobotys biannulalis",3,"P"
"Bradina perlucidalis",3,"E"
"Imma assita",3,"E"
"Glyphodes phormingopa",3,"E"
"Agrius convolvuli",3,"P"
"Scoparia tivira",3,"E"
"Bradina fidelia",3,"E"
"Pterodroma inexpectata",5,"B"
"Spongicola teres",1,"E"
"Puffinus myrtae",5,"E"
"Acrocephalus mendanae",3,"E"
"Arenaria interpres",5,"P"
"Pterodroma cervicalis",5,"P"
"Pterodroma nigripennis",5,"P"
"Numenius phaeopus",5,NA
"Tringa brevipes",3,"P"
"Vanellus miles",3,NA
"Todiramphus gertrudae",3,"E"
"Pterodroma brevipes",5,"P"
"Sterna hirundo",5,NA
"Tryngites subruficollis",5,NA
"Pterodroma externa",5,"P"
"Ptilinopus huttoni",3,"E"
"Dero trifida",2,"P"
"Nais variabilis",4,NA
"Allonais inaequalis",2,"P"
"Pristina jenkinae",3,NA
"Pristina osborni",3,NA
"Pristina proboscidea",2,NA
"Pristina menoni",3,NA
"Bougainvillia fulva",1,"P"
"Histiobranchus bathybius",1,NA
"Rhopalonema velatum",1,NA
"Liriope tetraphylla",1,NA
"Aglaura hemistoma",1,NA
"Halicreas minimum",1,NA
"Cryptopsaras couesii",1,NA
"Zygocanna vagans",1,"P"
"Aequorea australis",1,NA
"Leuckartiara octona",1,NA
"Octophialucium indicum",1,"P"
"Aegina citrea",1,NA
"Corymorpha furcata",1,"P"
"Laodicea indica",1,NA
"Dipleurosoma pacificum",1,"P"
"Geryonia proboscidalis",1,"P"
"Stomias nebulosus",1,NA
"Colobonema sericeum",1,NA
"Acanthephyra curtirostris",1,"P"
"Limatium pagodula",1,"P"
"Alloniscus oahuensis",3,"P"
"Myripristis vittata",1,"P"
"Stenella attenuata",1,"P"
"Asymphorodes albicoma",3,"E"
"Heteroconger lentiginosus",1,"P"
"Actumnus digitalis",1,"P"
"Euchirella amoena",1,"P"
"Dichelopa hadrotes",3,"E"
"Pseudocypraea adamsonii",1,"P"
"Campiglossa media",3,"E"
"Dracograllus timmi",1,"P"
"Gaillardiellus superciliaris",1,"P"
"Vanadis formosa",1,"P"
"Sagitella kowalewskii",1,"P"
"Scopelosaurus hoedti",1,NA
"Hirsutodynomene spinosa",1,"P"
"Asymphorodes porphyrarcha",3,"E"
"Idioblasta stenogramma",3,"E"
"Stegopontonia commensalis",1,"P"
"Asymphorodes lucidus",3,"E"
"Gonionida amathea",1,"P"
"Leptodius exaratus",1,NA
"Epsilonema exoticum",1,"P"
"Ernophthora aphanoptera",3,"E"
"Plesionika protati",1,"P"
"Laevichlamys cuneata",1,"P"
"Acrocalanus longicornis",1,"P"
"Heliacus areola",1,"P"
"Ozius tuberculosus",1,"P"
"Otopheidomenis treati",3,"P"
"Terebra niauensis",1,"P"
"Calidris melanotos",5,"B"
"Leptastrea purpurea",1,"P"
"Naso caesius",1,"P"
"Pomachromis richardsoni",1,"P"
"Oxymeris areolata",1,"P"
"Pseudanthias lori",1,"P"
"Mitrella nympha",1,"P"
"Pteraeolidia ianthina",1,"Q"
"Tridacna crocea",1,NA
"Hymenocephalus nascens",1,"P"
"Astralium rhodostomum",1,"D"
